ref;brand;lat;lon;;;operator;fuel;price;isself;updated;00
10193;Esso;46.1525380;13.0089230;;;Ornella Michele;Benzina;1.709;Servito;20221228;07
10355;Shell;46.1092319;12.8885239;;;Powerservice S.N.C. Area di Servizi Carburanti di Marzio Daniel & Tambosso Stefano;Benzina;1.669;SelfService;20221227;07
10355;Shell;46.1092319;12.8885239;;;Powerservice S.N.C. Area di Servizi Carburanti di Marzio Daniel & Tambosso Stefano;Benzina;1.879;Servito;20221227;08
10566;Q8;45.4802422;12.5501616;;;Lazzarini Franco;Benzina;1.669;SelfService;20221227;07
10676;;45.5503705;12.6608520;;;A.F. Petroli S.p.A.;Benzina;1.564;SelfService;20221227;07
10826;Eni;45.6479910;12.7946709;;;Stazione di Servizio Saltarel S.N.C. di Saltarel Michele & C.;Benzina;1.654;SelfService;20221224;07
10954;Esso;46.0491787;13.2484968;;;Bn di Bressan Gianni & C. S.A.S.;Benzina;1.619;SelfService;20221224;07
11076;;46.1048317;13.0935962;;;Stazione Eni di Mazza Giovanni;Benzina;1.619;SelfService;20221227;07
11076;;46.1048317;13.0935962;;;Stazione Eni di Mazza Giovanni;Benzina;1.829;Servito;20221227;08
11271;COSTANTIN;46.5837750;12.7817560;;;Enertop S.R.L.;Benzina;1.678;Servito;20221227;07
11271;COSTANTIN;46.5837750;12.7817560;;;Enertop S.R.L.;Benzina;1.678;SelfService;20221227;07
11329;Tamoil;46.0917787;13.2224475;;;Macorigh Mauro;Benzina;1.677;Servito;20221224;07
11329;Tamoil;46.0917787;13.2224475;;;Macorigh Mauro;Benzina;1.677;SelfService;20221224;07
11606;Q8;45.8060980;13.5386540;;;Servizi & Gestioni Italia S.R.L.;Benzina;1.644;SelfService;20221225;07
11607;Q8;45.8303289;13.5004049;;;Servizi & Gestioni Italia S.R.L.;Benzina;1.559;SelfService;20221226;07
11608;Q8;45.8860765;13.4962677;;;Servizi & Gestioni Italia S.R.L.;Benzina;1.689;SelfService;20221224;07
11609;Q8 Easy;45.8021895;13.5415789;;;Servizi & Gestioni Italia S.R.L.;Benzina;1.634;SelfService;20221224;07
11610;Q8;45.9344680;13.6069700;;;Servizi & Gestioni Italia S.R.L.;Benzina;1.629;SelfService;20221225;07
11611;Q8;45.9567140;13.4664270;;;Servizi & Gestioni Italia S.R.L.;Benzina;1.629;SelfService;20221226;07
11771;Shell;45.9595120;12.5024471;;;Servizi & Gestioni Italia S.R.L.;Benzina;1.639;SelfService;20221228;07
11772;Q8;45.9178119;12.8661410;;;Servizi & Gestioni Italia S.R.L.;Benzina;1.604;SelfService;20221228;07
11773;Shell;45.9659700;12.6399480;;;Servizi & Gestioni Italia S.R.L.;Benzina;1.569;SelfService;20221226;07
11774;Q8;46.1066786;12.8996309;;;Servizi & Gestioni Italia S.R.L.;Benzina;1.679;SelfService;20221226;07
11775;Shell;45.9507170;12.6647690;;;Servizi & Gestioni Italia S.R.L.;Benzina;1.619;SelfService;20221225;07
11776;Q8 Easy;45.9691252;12.6723955;;;Servizi & Gestioni Italia S.R.L.;Benzina;1.684;SelfService;20221225;07
11891;Servizi & Gestioni Italia S.R.L.;45.6382831;13.7653400;;;Servizi & Gestioni Italia S.R.L.;Benzina;1.599;SelfService;20221226;07
11892;Shell Aico Uno S.r.l.;45.6994512;13.8299716;;;Servizi & Gestioni Italia S.R.L.;Benzina;1.659;SelfService;20221224;07
11893;Servizi & Gestioni Italia S.R.L.;45.6418668;13.7572332;;;Servizi & Gestioni Italia S.R.L.;Benzina;1.579;SelfService;20221226;07
11894;Q8;45.6556111;13.8040375;;;Servizi & Gestioni Italia S.R.L.;Benzina;1.629;SelfService;20221226;07
11905;Q8;46.2632110;13.1079052;;;Servizi & Gestioni Italia S.R.L.;Benzina;1.729;SelfService;20221226;07
11906;Q8;46.4148157;12.9313779;;;Servizi & Gestioni Italia S.R.L.;Benzina;1.664;SelfService;20221226;07
11907;;46.0433840;13.1926970;;;Servizi & Gestioni Italia S.R.L.;Benzina;1.569;SelfService;20221226;07
11909;Q8;46.4027055;13.0175193;;;Servizi & Gestioni Italia S.R.L.;Benzina;1.669;SelfService;20221226;07
11910;Q8 easy;46.0534121;13.2464693;;;Servizi & Gestioni Italia S.R.L.;Benzina;1.597;SelfService;20221226;07
