ref;brand;lat;lon;;;operator;fuel;price;isself;updated
10477;Agip;45.6668648;12.5344042;;;Distributore Agip di Pontrandolfo Pietro;Benzina;1.814;Servito;20221017
10477;Agip;45.6668648;12.5344042;;;Distributore Agip di Pontrandolfo Pietro;Gasolio;1.994;Servito;20221017
10566;Q8;45.4802422;12.5501616;;;Lazzarini Franco;Benzina;1.699;SelfService;20221017
10566;Q8;45.4802422;12.5501616;;;Lazzarini Franco;Gasolio;1.899;SelfService;20221017
10567;Agip;46.2125925;13.2127712;;;Astolfi Marco;Benzina;1.709;SelfService;20221017
10567;Agip;46.2125925;13.2127712;;;Astolfi Marco;Benzina;1.919;Servito;20221017
10567;Agip;46.2125925;13.2127712;;;Astolfi Marco;Gasolio;1.879;SelfService;20221017
10567;Agip;46.2125925;13.2127712;;;Astolfi Marco;Gasolio;2.089;Servito;20221017
10676;;45.5503705;12.6608520;;;A.F. Petroli S.p.A.;Benzina;1.647;SelfService;20221013
10676;;45.5503705;12.6608520;;;A.F. Petroli S.p.A.;Gasolio;1.867;SelfService;20221013
10819;Agip;45.9615074;12.9890621;;;Fratelli Sambucco S.N.C.;Benzina;1.684;SelfService;20221014
10819;Agip;45.9615074;12.9890621;;;Fratelli Sambucco S.N.C.;Benzina;1.904;Servito;20221014
10819;Agip;45.9615074;12.9890621;;;Fratelli Sambucco S.N.C.;Gasolio;1.864;SelfService;20221014
10819;Agip;45.9615074;12.9890621;;;Fratelli Sambucco S.N.C.;Gasolio;2.084;Servito;20221014
10826;Eni;45.6479910;12.7946709;;;Stazione di Servizio Saltarel S.N.C. di Saltarel Michele & C.;Benzina;1.724;SelfService;20221015
10826;Eni;45.6479910;12.7946709;;;Stazione di Servizio Saltarel S.N.C. di Saltarel Michele & C.;Gasolio;1.884;SelfService;20221015
10929;IP;45.5240458;12.6403159;;;Dalla Pria Giuseppe;Benzina;1.679;SelfService;20221016
10929;IP;45.5240458;12.6403159;;;Dalla Pria Giuseppe;Benzina;1.759;Servito;20221016
10929;IP;45.5240458;12.6403159;;;Dalla Pria Giuseppe;Gasolio;1.899;SelfService;20221016
10929;IP;45.5240458;12.6403159;;;Dalla Pria Giuseppe;Gasolio;1.979;Servito;20221016
