ref;brand;lat;lon;;;operator;fuel;price;isself;updated;00
10193;Esso;46.1525380;13.0089230;;;Ornella Michele;Gasolio;2.029;Servito;10/06/2022 06:56:46;08
10355;Shell;46.1092319;12.8885239;;;Powerservice S.N.C. Area di Servizi Carburanti di Marzio Daniel & Tambosso Stefano;Gasolio;1.944;SelfService;09/06/2022 06:30:50;08
10355;Shell;46.1092319;12.8885239;;;Powerservice S.N.C. Area di Servizi Carburanti di Marzio Daniel & Tambosso Stefano;Gasolio;2.154;Servito;09/06/2022 06:30:50;08
10477;Agip;45.6668648;12.5344042;;;Distributore Agip di Pontrandolfo Pietro;Gasolio;2.089;Servito;10/06/2022 07:34:42;08
10566;Q8;45.4802422;12.5501616;;;Lazzarini Franco;Gasolio;1.999;SelfService;08/06/2022 08:46:09;08
10567;Agip;46.2125925;13.2127712;;;Astolfi Marco;Gasolio;1.929;SelfService;07/06/2022 20:00:11;07
10567;Agip;46.2125925;13.2127712;;;Astolfi Marco;Gasolio;2.139;Servito;07/06/2022 20:00:11;08
10570;IP;46.5273540;13.1192850;;;Matiz Alberto;Gasolio;1.959;Servito;08/06/2022 13:55:40;08
10570;IP;46.5273540;13.1192850;;;Matiz Alberto;Gasolio;1.959;SelfService;08/06/2022 13:55:40;08
10605;;45.2273041;12.1800977;;;Energia S.R.L.;Gasolio;1.929;SelfService;09/06/2022 12:39:54;07
10605;;45.2273041;12.1800977;;;Energia S.R.L.;Gasolio;1.979;Servito;09/06/2022 12:39:54;08
10676;;45.5503705;12.6608520;;;A.F. Petroli S.p.A.;Gasolio;1.969;SelfService;08/06/2022 19:07:28;08
10819;Agip;45.9615074;12.9890621;;;Fratelli Sambucco S.N.C.;Gasolio;1.969;SelfService;10/06/2022 07:38:28;08
10819;Agip;45.9615074;12.9890621;;;Fratelli Sambucco S.N.C.;Gasolio;2.189;Servito;10/06/2022 07:38:28;09
10826;Agip;45.6479395;12.7947555;;;Stazione di Servizio Saltarel S.N.C. di Saltarel Michele & C.;Gasolio;1.929;SelfService;07/06/2022 12:34:41;07
10929;IP;45.5240458;12.6403159;;;Dalla Pria Giuseppe;Gasolio;1.919;SelfService;08/06/2022 21:12:07;07
10929;IP;45.5240458;12.6403159;;;Dalla Pria Giuseppe;Gasolio;1.999;Servito;08/06/2022 21:12:07;08
10954;Esso;46.0491787;13.2484968;;;Bn di Bressan Gianni & C. S.A.S.;Gasolio;1.909;SelfService;08/06/2022 18:49:52;07
