idImpianto;descCarburante;prezzo;isSelf;dtComu
3464;Benzina;2.409;0;20260717
3464;Benzina;2.049;1;20260717
3464;Gasolio;2.549;0;20260717
3464;Gasolio;2.189;1;20260717
3464;Metano;1.649;0;20260717
3464;GPL;0.915;0;20260717
3468;Benzina;1.955;1;20260719
3468;Gasolio;2.058;1;20260719
3468;GPL;0.918;0;20260719
3471;Benzina;2.385;0;20260717
3471;Benzina;2.039;1;20260717
3471;Gasolio;2.489;0;20260717
3471;Gasolio;2.159;1;20260717
3471;Metano;1.549;0;20260717
3471;GPL;0.899;0;20260717
3473;Benzina;2.288;0;20260719
3473;Benzina;1.979;1;20260719
3473;Gasolio;2.418;0;20260719
3473;Gasolio;2.109;1;20260719
3473;Metano;1.565;0;20260719
3473;GPL;0.844;0;20260719
3473;Blue Super;2.407;0;20260719
3473;Blue Super;2.103;1;20260719
3473;Blue Diesel;2.528;0;20260719
3473;Blue Diesel;2.219;1;20260719
3474;Benzina;2.449;0;20260718
3474;Benzina;2.049;1;20260718
3474;Gasolio;2.589;0;20260718
3474;Gasolio;2.189;1;20260718
3486;Benzina;2.412;0;20260717
3486;Benzina;2.072;1;20260717
3486;Gasolio;2.452;0;20260717
3486;Gasolio;2.192;1;20260717
3489;Benzina;2.419;0;20260717
3489;Benzina;1.989;1;20260717
3489;Gasolio;2.569;0;20260717
3489;Gasolio;2.139;1;20260717
3489;Metano;1.529;0;20260717
3489;GPL;0.915;0;20260717
3492;Benzina;2.274;0;20260718
3492;Benzina;2.024;1;20260718
3492;Gasolio;2.404;0;20260718
3492;Gasolio;2.155;1;20260718
3492;GPL;0.877;0;20260718
3492;Blue Diesel;2.504;0;20260718
3492;Blue Diesel;2.255;1;20260718
3493;Benzina;2.189;0;20260719
3493;Benzina;1.989;1;20260719
3493;Gasolio;2.319;0;20260719
3493;Gasolio;2.119;1;20260719
3493;Metano;1.619;0;20260719
3493;GPL;0.899;0;20260719
3493;Blue Diesel;2.419;0;20260719
3493;Blue Diesel;2.219;1;20260719
3493;HVOlution;2.319;0;20260719
3493;HVOlution;2.119;1;20260719
3503;Benzina;2.289;0;20260717
3503;Benzina;2.039;1;20260717
3503;Gasolio;2.369;0;20260717
3503;Gasolio;2.119;1;20260717
3503;Metano;1.699;0;20260717
3503;GPL;0.899;0;20260717
3503;Hi-Q Diesel;2.619;0;20260717
3503;Hi-Q Diesel;2.419;1;20260717
3503;HiQ Perform+;2.559;0;20260717
3503;HiQ Perform+;2.339;1;20260717
3503;HVO;2.119;1;20260717
3510;Benzina;2.349;0;20260717
3510;Benzina;1.999;1;20260717
3510;Gasolio;2.469;0;20260717
3510;Gasolio;2.119;1;20260717
3510;GPL;0.899;0;20260717
3511;Benzina;2.198;0;20260716
3511;Benzina;1.998;1;20260716
3511;Gasolio;2.299;0;20260716
3511;Gasolio;2.169;1;20260716
3511;Gasolio speciale;2.398;0;20260715
3511;Gasolio speciale;2.198;1;20260715
3512;Benzina;2.269;0;20260720
3512;Benzina;2.069;1;20260720
3512;Gasolio;2.399;0;20260720
3512;Gasolio;2.199;1;20260720
3512;Gasolio speciale;2.498;0;20260720
3512;Gasolio speciale;2.398;1;20260720
3513;Benzina;2.279;0;20260720
3513;Benzina;2.064;1;20260720
3513;Gasolio;2.379;0;20260720
3513;Gasolio;2.164;1;20260720
3513;Hi-Q Diesel;2.629;0;20260720
3513;Hi-Q Diesel;2.464;1;20260720
3513;HiQ Perform+;2.549;0;20260720
3513;HiQ Perform+;2.364;1;20260720
3514;Benzina;2.229;0;20260718
3514;Benzina;1.984;1;20260718
3514;Gasolio;2.384;0;20260718
3514;Gasolio;2.139;1;20260718
3514;GPL;0.879;0;20260718
3514;Hi-Q Diesel;2.634;0;20260718
3514;Hi-Q Diesel;2.439;1;20260718
3514;HiQ Perform+;2.499;0;20260718
3514;HiQ Perform+;2.284;1;20260718
3514;HVO;2.349;0;20260718
3514;HVO;2.139;1;20260718
3515;Benzina;2.279;0;20260716
3515;Benzina;2.064;1;20260716
3515;Gasolio;2.379;0;20260716
3515;Gasolio;2.164;1;20260716
3515;Hi-Q Diesel;2.549;0;20260716
3515;Hi-Q Diesel;2.384;1;20260716
3515;HiQ Perform+;2.459;0;20260716
3515;HiQ Perform+;2.274;1;20260716
3516;Benzina;2.124;0;20260717
3516;Benzina;1.924;1;20260717
3516;Gasolio;2.262;0;20260717
3516;Gasolio;2.062;1;20260717
3516;GPL;0.898;0;20260717
3516;Gasolio speciale;2.399;0;20260717
3516;Gasolio speciale;2.199;1;20260717
3518;Benzina;2.258;0;20260719
3518;Benzina;2.063;1;20260719
3518;Gasolio;2.494;0;20260719
3518;Gasolio;2.299;1;20260719
3518;GPL;0.899;0;20260719
3518;Blue Diesel;2.394;0;20260719
3518;Blue Diesel;2.179;1;20260719
3521;Benzina;2.294;0;20260719
3521;Benzina;2.037;1;20260719
3521;Gasolio;2.424;0;20260719
3521;Gasolio;2.167;1;20260719
3521;GPL;0.927;0;20260719
3521;Blue Super;2.187;1;20260719
3521;Blue Diesel;2.524;0;20260719
3521;Blue Diesel;2.267;1;20260719
3526;Benzina;2.349;0;20260719
3526;Benzina;2.039;1;20260719
3526;Gasolio;2.479;0;20260719
3526;Gasolio;2.169;1;20260719
3526;GPL;0.899;0;20260720
3526;Blue Super;2.079;1;20260719
3526;Blue Diesel;2.579;0;20260719
3526;Blue Diesel;2.269;1;20260719
3527;Benzina;2.238;0;20260719
3527;Benzina;2.038;1;20260719
3527;Gasolio;2.498;0;20260719
3527;Gasolio;2.298;1;20260719
3527;GPL;0.899;0;20260719
3527;Blue Super;2.249;0;20260719
3527;Blue Super;2.049;1;20260719
3527;Blue Diesel;2.499;0;20260719
3527;Blue Diesel;2.299;1;20260719
3530;Benzina;2.250;0;20260719
3530;Benzina;2.040;1;20260719
3530;Gasolio;2.384;0;20260719
3530;Gasolio;2.174;1;20260719
3530;Blue Diesel;2.484;0;20260719
3530;Blue Diesel;2.274;1;20260719
3533;Benzina;2.049;1;20260718
3533;Gasolio;2.189;1;20260718
3535;Benzina;2.334;0;20260718
3535;Benzina;1.979;1;20260718
3535;Gasolio;2.434;0;20260718
3535;Gasolio;2.079;1;20260718
3544;Benzina;2.372;0;20260719
3544;Benzina;1.992;1;20260719
3544;Gasolio;2.462;0;20260719
3544;Gasolio;2.082;1;20260719
3544;GPL;0.912;0;20260719
3544;Supreme Diesel;2.662;0;20260719
3544;Supreme Diesel;2.282;1;20260719
3546;Benzina;2.384;0;20260717
3546;Benzina;1.999;1;20260717
3546;Gasolio;2.524;0;20260717
3546;Gasolio;2.139;1;20260717
3547;Benzina;2.312;0;20260717
3547;Benzina;2.012;1;20260717
3547;Gasolio;2.482;0;20260717
3547;Gasolio;2.182;1;20260717
3547;GPL;0.742;0;20260717
3547;Supreme Diesel;2.682;0;20260717
3547;Supreme Diesel;2.382;1;20260717
3548;Benzina;2.364;0;20260717
3548;Benzina;2.004;1;20260717
3548;Gasolio;2.499;0;20260717
3548;Gasolio;2.144;1;20260717
